FAMILY-ID, BARANGAY
"6675"   , Bagabag
"6677"   , Bagabag
"6678"   , Bagabag
"6681"   , Bagabag
"6682"   , Bagabag
"6683"   , Bagabag
"6684"   , Bagabag
"6685"   , Bagabag
"6687"   , Bagabag
"6688"   , Bagabag
"6690"   , Bagabag
"6692"   , Bagabag
"6694"   , Bagabag
"6695"   , Bagabag
"6697"   , Bagabag
"6698"   , Bagabag
"6699"   , Bagabag
"6701"   , Bagabag
"6702"   , Bagabag
"6703"   , Bagabag
"6704"   , Bagabag
"6705"   , Bagabag
"6707"   , Bagabag
"6708"   , Bagabag
"6709"   , Bagabag
"6710"   , Bagabag
"6711"   , Bagabag
"6713"   , Bagabag
"6715"   , Bagabag
"6716"   , Bagabag
"6718"   , Bagabag
"6719"   , Bagabag
"6720"   , Bagabag
"6721"   , Bagabag
"6722"   , Bagabag
"6724"   , Bagabag
"6725"   , Bagabag
"6726"   , Bagabag
"6728"   , Bagabag
"6730"   , Bagabag
"6731"   , Bagabag
"6732"   , Bagabag
"6737"   , Bagabag
"6745"   , Bagabag
"6746"   , Bagabag
"6747"   , Bagabag
"6748"   , Bagabag
"6749"   , Bagabag
"6750"   , Bagabag
"6751"   , Bagabag
"6752"   , Bagabag
"6757"   , Bagabag
"6760"   , Bagabag
"6761"   , Bagabag
"6762"   , Bagabag
"6764"   , Bagabag
"6765"   , Bagabag
"6767"   , Bagabag
"6769"   , Bagabag
"6770"   , Bagabag
"6773"   , Bagabag
"6780"   , Bagabag
"6781"   , Bagabag
"6784"   , Bagabag
"6785"   , Bagabag
"6786"   , Bagabag
"6790"   , Bagabag
"6791"   , Bagabag
"6792"   , Bagabag
"6794"   , Bagabag
"6795"   , Bagabag
"6796"   , Bagabag
"6799"   , Bagabag
"6801"   , Bagabag
"6802"   , Bagabag
"6803"   , Bagabag
"6805"   , Bagabag
"6807"   , Bagabag
"6811"   , Bagabag
"6814"   , Bagabag
"6817"   , Bagabag
"6829"   , Bagabag
"6831"   , Bagabag
"6833"   , Bagabag
"6834"   , Bagabag
"6835"   , Bagabag
"6836"   , Bagabag
"6837"   , Bagabag
"6838"   , Bagabag
"6839"   , Bagabag
"6840"   , Bagabag
"6841"   , Bagabag
"6842"   , Bagabag
"6843"   , Bagabag
"6845"   , Bagabag
"6847"   , Bagabag
"6848"   , Bagabag
"6849"   , Bagabag
"6850"   , Bagabag
"6853"   , Bagabag
"6854"   , Bagabag
"6855"   , Bagabag
"6856"   , Bagabag
"6858"   , Bagabag
"6859"   , Bagabag
"6860"   , Bagabag
"6873"   , Bagabag
"6874"   , Bagabag
"6876"   , Bagabag
"6878"   , Bagabag
"6880"   , Bagabag
"6886"   , Bagabag
"6888"   , Bagabag
"6890"   , Bagabag
"6893"   , Bagabag
"6894"   , Bagabag
"6895"   , Bagabag
"6897"   , Bagabag
"6898"   , Bagabag
"3885"   , Bagutari
"3889"   , Bagutari
"3908"   , Bagutari
"3910"   , Bagutari
"4652"   , Bagutari
"4654"   , Bagutari
"4656"   , Bagutari
"4735"   , Bagutari
"4738"   , Bagutari
"4742"   , Bagutari
"4746"   , Bagutari
"4751"   , Bagutari
"4760"   , Bagutari
"4763"   , Bagutari
"4765"   , Bagutari
"4770"   , Bagutari
"4775"   , Bagutari
"4777"   , Bagutari
"4781"   , Bagutari
"4785"   , Bagutari
"4788"   , Bagutari
"4791"   , Bagutari
"4794"   , Bagutari
"4797"   , Bagutari
"4800"   , Bagutari
"4801"   , Bagutari
"4802"   , Bagutari
"4803"   , Bagutari
"4806"   , Bagutari
"4807"   , Bagutari
"4808"   , Bagutari
"4809"   , Bagutari
"4811"   , Bagutari
"4816"   , Bagutari
"4818"   , Bagutari
"4821"   , Bagutari
"4823"   , Bagutari
"4824"   , Bagutari
"4825"   , Bagutari
"4826"   , Bagutari
"4828"   , Bagutari
"4830"   , Bagutari
"4832"   , Bagutari
"4833"   , Bagutari
"4834"   , Bagutari
"4838"   , Bagutari
"4840"   , Bagutari
"4842"   , Bagutari
"4844"   , Bagutari
"4849"   , Bagutari
"4850"   , Bagutari
"4851"   , Bagutari
"4853"   , Bagutari
"4854"   , Bagutari
"4855"   , Bagutari
"4856"   , Bagutari
"4857"   , Bagutari
"4858"   , Bagutari
"4859"   , Bagutari
"4860"   , Bagutari
"4861"   , Bagutari
"4862"   , Bagutari
"4863"   , Bagutari
"4864"   , Bagutari
"4990"   , Bagutari
"4992"   , Bagutari
"4993"   , Bagutari
"4995"   , Bagutari
"4997"   , Bagutari
"4999"   , Bagutari
"5003"   , Bagutari
"5007"   , Bagutari
"5009"   , Bagutari
"5010"   , Bagutari
"5011"   , Bagutari
"5014"   , Bagutari
"5016"   , Bagutari
"5018"   , Bagutari
"5023"   , Bagutari
"5025"   , Bagutari
"5027"   , Bagutari
"5031"   , Bagutari
"5035"   , Bagutari
"5037"   , Bagutari
"5038"   , Bagutari
"5040"   , Bagutari
"5041"   , Bagutari
"5043"   , Bagutari
"5045"   , Bagutari
"5046"   , Bagutari
"5047"   , Bagutari
"5053"   , Bagutari
"5058"   , Bagutari
"5073"   , Bagutari
"5076"   , Bagutari
"5080"   , Bagutari
"5083"   , Bagutari
"5088"   , Bagutari
"5105"   , Bagutari
"5111"   , Bagutari
"5117"   , Bagutari
"5120"   , Bagutari
"5136"   , Bagutari
"5148"   , Bagutari
"5151"   , Bagutari
"5154"   , Bagutari
"5158"   , Bagutari
"5160"   , Bagutari
"5164"   , Bagutari
"5167"   , Bagutari
"5172"   , Bagutari
"5174"   , Bagutari
"5177"   , Bagutari
"5191"   , Bagutari
"5193"   , Bagutari
"5199"   , Bagutari
"5200"   , Bagutari
"5201"   , Bagutari
"5202"   , Bagutari
"5203"   , Bagutari
"5204"   , Bagutari
"5209"   , Bagutari
"5211"   , Bagutari
"5219"   , Bagutari
"5226"   , Bagutari
"5236"   , Bagutari
"5258"   , Bagutari
"5260"   , Bagutari
"5262"   , Bagutari
"5264"   , Bagutari
"5265"   , Bagutari
"5267"   , Bagutari
"5273"   , Bagutari
"5369"   , Bagutari
"5370"   , Bagutari
"5372"   , Bagutari
"5373"   , Bagutari
"5375"   , Bagutari
"5382"   , Bagutari
"5387"   , Bagutari
"5389"   , Bagutari
"5395"   , Bagutari
"5396"   , Bagutari
"5401"   , Bagutari
"5404"   , Bagutari
"5410"   , Bagutari
"5412"   , Bagutari
"5425"   , Bagutari
"5430"   , Bagutari
"5435"   , Bagutari
"5437"   , Bagutari
"5442"   , Bagutari
"5443"   , Bagutari
"5446"   , Bagutari
"5449"   , Bagutari
"5450"   , Bagutari
"5456"   , Bagutari
"5458"   , Bagutari
"5462"   , Bagutari
"5463"   , Bagutari
"5468"   , Bagutari
"5471"   , Bagutari
"5475"   , Bagutari
"5478"   , Bagutari
"5484"   , Bagutari
"5489"   , Bagutari
"5491"   , Bagutari
"5494"   , Bagutari
"5497"   , Bagutari
"5498"   , Bagutari
"5499"   , Bagutari
"5526"   , Bagutari
"5527"   , Bagutari
"5528"   , Bagutari
"5529"   , Bagutari
"5530"   , Bagutari
"5531"   , Bagutari
"5532"   , Bagutari
"5533"   , Bagutari
"5534"   , Bagutari
"5535"   , Bagutari
"5536"   , Bagutari
"5539"   , Bagutari
"5544"   , Bagutari
"5549"   , Bagutari
"5554"   , Bagutari
"5557"   , Bagutari
"5561"   , Bagutari
"5565"   , Bagutari
"5568"   , Bagutari
"5570"   , Bagutari
"5572"   , Bagutari
"5574"   , Bagutari
"5578"   , Bagutari
"5581"   , Bagutari
"5586"   , Bagutari
"5587"   , Bagutari
"5590"   , Bagutari
"5594"   , Bagutari
"5597"   , Bagutari
"5601"   , Bagutari
"5603"   , Bagutari
"5606"   , Bagutari
"5608"   , Bagutari
"5610"   , Bagutari
"5614"   , Bagutari
"5615"   , Bagutari
"5617"   , Bagutari
"5619"   , Bagutari
"5624"   , Bagutari
"5628"   , Bagutari
"5631"   , Bagutari
"5637"   , Bagutari
"5639"   , Bagutari
"5640"   , Bagutari
"5643"   , Bagutari
"5644"   , Bagutari
"5646"   , Bagutari
"5647"   , Bagutari
"5648"   , Bagutari
"5649"   , Bagutari
"5651"   , Bagutari
"5677"   , Bagutari
"5678"   , Bagutari
"5681"   , Bagutari
"5685"   , Bagutari
"5689"   , Bagutari
"5693"   , Bagutari
"5702"   , Bagutari
"5715"   , Bagutari
"5731"   , Bagutari
"5739"   , Bagutari
"5751"   , Bagutari
"5798"   , Bagutari
"5803"   , Bagutari
"5807"   , Bagutari
"5811"   , Bagutari
"5825"   , Bagutari
"5829"   , Bagutari
"5834"   , Bagutari
"5837"   , Bagutari
"5841"   , Bagutari
"5845"   , Bagutari
"5852"   , Bagutari
"5860"   , Bagutari
"5869"   , Bagutari
"5888"   , Bagutari
"5892"   , Bagutari
"5901"   , Bagutari
"5907"   , Bagutari
"5911"   , Bagutari
"5922"   , Bagutari
"5925"   , Bagutari
"5929"   , Bagutari
"5931"   , Bagutari
"5934"   , Bagutari
"5935"   , Bagutari
"5937"   , Bagutari
"5941"   , Bagutari
"5945"   , Bagutari
"5948"   , Bagutari
"2905"   , Balelleng
"2911"   , Balelleng
"2915"   , Balelleng
"2919"   , Balelleng
"2923"   , Balelleng
"2931"   , Balelleng
"2936"   , Balelleng
"2942"   , Balelleng
"2947"   , Balelleng
"2948"   , Balelleng
"2952"   , Balelleng
"2954"   , Balelleng
"2957"   , Balelleng
"2961"   , Balelleng
"2964"   , Balelleng
"2968"   , Balelleng
"2976"   , Balelleng
"2982"   , Balelleng
"2987"   , Balelleng
"2993"   , Balelleng
"3006"   , Balelleng
"3011"   , Balelleng
"3020"   , Balelleng
"3027"   , Balelleng
"3033"   , Balelleng
"3039"   , Balelleng
"3042"   , Balelleng
"3045"   , Balelleng
"3053"   , Balelleng
"3056"   , Balelleng
"3064"   , Balelleng
"3071"   , Balelleng
"3080"   , Balelleng
"3085"   , Balelleng
"3100"   , Balelleng
"3107"   , Balelleng
"3112"   , Balelleng
"3115"   , Balelleng
"3120"   , Balelleng
"3125"   , Balelleng
"3131"   , Balelleng
"3133"   , Balelleng
"3135"   , Balelleng
"3138"   , Balelleng
"3140"   , Balelleng
"3144"   , Balelleng
"3146"   , Balelleng
"3147"   , Balelleng
"3149"   , Balelleng
"3154"   , Balelleng
"3155"   , Balelleng
"3156"   , Balelleng
"3158"   , Balelleng
"3159"   , Balelleng
"3161"   , Balelleng
"3163"   , Balelleng
"3166"   , Balelleng
"3169"   , Balelleng
"3172"   , Balelleng
"3176"   , Balelleng
"3181"   , Balelleng
"3183"   , Balelleng
"3186"   , Balelleng
"3188"   , Balelleng
"3190"   , Balelleng
"3193"   , Balelleng
"3194"   , Balelleng
"3195"   , Balelleng
"3199"   , Balelleng
"3203"   , Balelleng
"3204"   , Balelleng
"3207"   , Balelleng
"3210"   , Balelleng
"3215"   , Balelleng
"3219"   , Balelleng
"3222"   , Balelleng
"3223"   , Balelleng
"3233"   , Balelleng
"3238"   , Balelleng
"3241"   , Balelleng
"3250"   , Balelleng
"3252"   , Balelleng
"3254"   , Balelleng
"3258"   , Balelleng
"3260"   , Balelleng
"3267"   , Balelleng
"3270"   , Balelleng
"3271"   , Balelleng
"3276"   , Balelleng
"3278"   , Balelleng
"3280"   , Balelleng
"3281"   , Balelleng
"3282"   , Balelleng
"3284"   , Balelleng
"3286"   , Balelleng
"3288"   , Balelleng
"3290"   , Balelleng
"3291"   , Balelleng
"3293"   , Balelleng
"3294"   , Balelleng
"3295"   , Balelleng
"3297"   , Balelleng
"3298"   , Balelleng
"3299"   , Balelleng
"3302"   , Balelleng
"3304"   , Balelleng
"3305"   , Balelleng
"3306"   , Balelleng
"3307"   , Balelleng
"3308"   , Balelleng
"3309"   , Balelleng
"3311"   , Balelleng
"3312"   , Balelleng
"3313"   , Balelleng
"3316"   , Balelleng
"3319"   , Balelleng
"3320"   , Balelleng
"3321"   , Balelleng
"3324"   , Balelleng
"3325"   , Balelleng
"3327"   , Balelleng
"3329"   , Balelleng
"3331"   , Balelleng
"3332"   , Balelleng
"3334"   , Balelleng
"3335"   , Balelleng
"3339"   , Balelleng
"3340"   , Balelleng
"3341"   , Balelleng
"3342"   , Balelleng
"3343"   , Balelleng
"3346"   , Balelleng
"3347"   , Balelleng
"3349"   , Balelleng
"3351"   , Balelleng
"3352"   , Balelleng
"3353"   , Balelleng
"3354"   , Balelleng
"3355"   , Balelleng
"3357"   , Balelleng
"3358"   , Balelleng
"3361"   , Balelleng
"3365"   , Balelleng
"3368"   , Balelleng
"3373"   , Balelleng
"3375"   , Balelleng
"3378"   , Balelleng
"3380"   , Balelleng
"3381"   , Balelleng
"3382"   , Balelleng
"3384"   , Balelleng
"3385"   , Balelleng
"3387"   , Balelleng
"3390"   , Balelleng
"3391"   , Balelleng
"3392"   , Balelleng
"3395"   , Balelleng
"3398"   , Balelleng
"3401"   , Balelleng
"3405"   , Balelleng
"3407"   , Balelleng
"3409"   , Balelleng
"3413"   , Balelleng
"3416"   , Balelleng
"3417"   , Balelleng
"3418"   , Balelleng
"3420"   , Balelleng
"3422"   , Balelleng
"3424"   , Balelleng
"3426"   , Balelleng
"3432"   , Balelleng
"3435"   , Balelleng
"3438"   , Balelleng
"3441"   , Balelleng
"3442"   , Balelleng
"3445"   , Balelleng
"3450"   , Balelleng
"3453"   , Balelleng
"3455"   , Balelleng
"3457"   , Balelleng
"3458"   , Balelleng
"3459"   , Balelleng
"3461"   , Balelleng
"3463"   , Balelleng
"3466"   , Balelleng
"3468"   , Balelleng
"3470"   , Balelleng
"3471"   , Balelleng
"3473"   , Balelleng
"3474"   , Balelleng
"3475"   , Balelleng
"3476"   , Balelleng
"3478"   , Balelleng
"3518"   , Balelleng
"3519"   , Balelleng
"3522"   , Balelleng
"3524"   , Balelleng
"3526"   , Balelleng
"3527"   , Balelleng
"3529"   , Balelleng
"3531"   , Balelleng
"3532"   , Balelleng
"3533"   , Balelleng
"3535"   , Balelleng
"3538"   , Balelleng
"3541"   , Balelleng
"3544"   , Balelleng
"3546"   , Balelleng
"3548"   , Balelleng
"3549"   , Balelleng
"3551"   , Balelleng
"3553"   , Balelleng
"3557"   , Balelleng
"3558"   , Balelleng
"3560"   , Balelleng
"3562"   , Balelleng
"3564"   , Balelleng
"3565"   , Balelleng
"3569"   , Balelleng
"3571"   , Balelleng
"3573"   , Balelleng
"3578"   , Balelleng
"3580"   , Balelleng
"3584"   , Balelleng
"3585"   , Balelleng
"3586"   , Balelleng
"3588"   , Balelleng
"3591"   , Balelleng
"3594"   , Balelleng
"3595"   , Balelleng
"3597"   , Balelleng
"3598"   , Balelleng
"3600"   , Balelleng
"3602"   , Balelleng
"3603"   , Balelleng
"3605"   , Balelleng
"3607"   , Balelleng
"3609"   , Balelleng
"3610"   , Balelleng
"3612"   , Balelleng
"3613"   , Balelleng
"3619"   , Balelleng
"3621"   , Balelleng
"3624"   , Balelleng
"3628"   , Balelleng
"3632"   , Balelleng
"3635"   , Balelleng
"3658"   , Balelleng
"3662"   , Balelleng
"3669"   , Balelleng
"3676"   , Balelleng
"3680"   , Balelleng
"3692"   , Balelleng
"3699"   , Balelleng
"3701"   , Balelleng
"3719"   , Balelleng
"3726"   , Balelleng
"3743"   , Balelleng
"3760"   , Balelleng
"3766"   , Balelleng
"3769"   , Balelleng
"3773"   , Balelleng
"3779"   , Balelleng
"3785"   , Balelleng
"3793"   , Balelleng
"3800"   , Balelleng
"3807"   , Balelleng
"3812"   , Balelleng
"3818"   , Balelleng
"3827"   , Balelleng
"3871"   , Balelleng
"3876"   , Balelleng
"3880"   , Balelleng
"3915"   , Balelleng
"3917"   , Balelleng
"3932"   , Balelleng
"3938"   , Balelleng
"3941"   , Balelleng
"3947"   , Balelleng
"3953"   , Balelleng
"3956"   , Balelleng
"3967"   , Balelleng
